FID,knooppuntnummer,regio,provincie,puntid,last_edited_date,soort_knooppunt,wkb_geometry
wandelknooppunten_vrij_wgs84.41,27,Lunteren,Gelderland,162717,2019-11-19T10:01:56,keuzepunt,POINT (5.649934734000055 52.09488735900004)
wandelknooppunten_vrij_wgs84.42,28,Lunteren,Gelderland,162716,2019-11-19T10:01:56,keuzepunt,POINT (5.644706131000021 52.09393291400005)
wandelknooppunten_vrij_wgs84.43,17,Lunteren,Gelderland,162715,2019-11-19T10:01:56,keuzepunt,POINT (5.632821087000025 52.09691002800008)
wandelknooppunten_vrij_wgs84.44,19,Lunteren,Gelderland,162714,2019-11-19T10:01:56,keuzepunt,POINT (5.643842101000075 52.10046926000007)
wandelknooppunten_vrij_wgs84.45,20,Lunteren,Gelderland,162713,2019-11-19T10:01:56,keuzepunt,POINT (5.6452248190000205 52.10118509100005)
wandelknooppunten_vrij_wgs84.46,32,Lunteren,Gelderland,162712,2019-11-19T10:01:56,keuzepunt,POINT (5.659334920000049 52.10046548200006)
wandelknooppunten_vrij_wgs84.47,37,Lunteren,Gelderland,162711,2019-11-19T10:01:56,keuzepunt,POINT (5.665259794000065 52.10159554200004)
wandelknooppunten_vrij_wgs84.48,36,Lunteren,Gelderland,162710,2019-11-19T10:01:56,keuzepunt,POINT (5.667832157000021 52.10198239600004)
wandelknooppunten_vrij_wgs84.49,38,Lunteren,Gelderland,162709,2019-11-19T10:01:56,keuzepunt,POINT (5.6701584340000295 52.10239611900005)
wandelknooppunten_vrij_wgs84.50,35,Lunteren,Gelderland,162708,2019-11-19T10:01:56,keuzepunt,POINT (5.665455214000076 52.10826422900004)
wandelknooppunten_vrij_wgs84.51,39,Lunteren,Gelderland,162707,2019-11-19T10:01:56,keuzepunt,POINT (5.678096565000033 52.10374064800004)
wandelknooppunten_vrij_wgs84.52,35,"Duin, Horst en Weide",Zuid-Holland,177733,2019-11-20T11:13:34,knooppunt,POINT (4.432819567000024 52.113416820000054)
wandelknooppunten_vrij_wgs84.53,58,"Duin, Horst en Weide",Zuid-Holland,218196,2020-02-17T09:58:41,knooppunt,POINT (4.473351781000076 52.09266764800003)
wandelknooppunten_vrij_wgs84.54,59,"Duin, Horst en Weide",Zuid-Holland,177731,2019-11-20T11:13:34,knooppunt,POINT (4.458766733000061 52.086595388000035)
wandelknooppunten_vrij_wgs84.55,65,"Duin, Horst en Weide",Zuid-Holland,177730,2019-11-20T11:13:34,knooppunt,POINT (4.409187450000047 52.086196218000055)
wandelknooppunten_vrij_wgs84.56,66,"Duin, Horst en Weide",Zuid-Holland,177729,2019-11-20T11:13:34,knooppunt,POINT (4.427226183000073 52.09509632600003)
wandelknooppunten_vrij_wgs84.57,53,"Duin, Horst en Weide",Zuid-Holland,177728,2019-11-20T11:13:34,knooppunt,POINT (4.441066965000061 52.100980039000035)
wandelknooppunten_vrij_wgs84.58,34,"Duin, Horst en Weide",Zuid-Holland,177727,2019-11-20T11:13:34,knooppunt,POINT (4.390763562000075 52.14895747700007)
wandelknooppunten_vrij_wgs84.59,65,"Duin, Horst en Weide",Zuid-Holland,177726,2019-11-20T11:13:34,knooppunt,POINT (4.294294738000076 52.101350041000046)
wandelknooppunten_vrij_wgs84.60,34,"Duin, Horst en Weide",Zuid-Holland,177725,2019-11-20T11:13:34,knooppunt,POINT (4.432267295000031 52.11936880400003)
wandelknooppunten_vrij_wgs84.61,46,"Duin, Horst en Weide",Zuid-Holland,177724,2019-11-20T11:13:34,knooppunt,POINT (4.438707690000058 52.12368287400005)
wandelknooppunten_vrij_wgs84.62,69,"Duin, Horst en Weide",Zuid-Holland,177723,2019-11-20T11:13:34,knooppunt,POINT (4.408795155000064 52.09875625800004)
wandelknooppunten_vrij_wgs84.63,43,"Duin, Horst en Weide",Zuid-Holland,177722,2019-11-20T11:13:34,knooppunt,POINT (4.304100799000025 52.11077864900005)
wandelknooppunten_vrij_wgs84.64,52,"Duin, Horst en Weide",Zuid-Holland,177721,2019-11-20T11:13:34,knooppunt,POINT (4.467928656000026 52.11845932800003)
wandelknooppunten_vrij_wgs84.65,91,"Duin, Horst en Weide",Zuid-Holland,1576855,2021-07-06T09:28:03,knooppunt,POINT (4.376694344000043 52.12064146000006)
wandelknooppunten_vrij_wgs84.66,87,"Duin, Horst en Weide",Zuid-Holland,177719,2019-11-20T11:13:34,knooppunt,POINT (4.374982168000031 52.11891460500004)
wandelknooppunten_vrij_wgs84.67,51,"Duin, Horst en Weide",Zuid-Holland,177718,2019-11-20T11:13:34,knooppunt,POINT (4.309346482000024 52.10045480100007)
wandelknooppunten_vrij_wgs84.68,88,"Duin, Horst en Weide",Zuid-Holland,177717,2019-11-20T11:13:34,knooppunt,POINT (4.414060260000042 52.11346773400004)
wandelknooppunten_vrij_wgs84.69,68,"Duin, Horst en Weide",Zuid-Holland,177716,2019-11-20T11:13:34,knooppunt,POINT (4.387341215000049 52.085238822000065)
wandelknooppunten_vrij_wgs84.70,72,"Duin, Horst en Weide",Zuid-Holland,177715,2019-11-20T11:13:34,knooppunt,POINT (4.366492855000047 52.07426126100006)
wandelknooppunten_vrij_wgs84.71,67,"Duin, Horst en Weide",Zuid-Holland,177714,2019-11-20T11:13:34,knooppunt,POINT (4.435875274000068 52.10678268700008)
wandelknooppunten_vrij_wgs84.72,75,"Duin, Horst en Weide",Zuid-Holland,177713,2019-11-20T11:13:34,knooppunt,POINT (4.364185469000063 52.07545284200006)
wandelknooppunten_vrij_wgs84.73,71,"Duin, Horst en Weide",Zuid-Holland,177712,2019-11-20T11:13:34,knooppunt,POINT (4.327978671000039 52.101358506000054)
wandelknooppunten_vrij_wgs84.74,66,"Duin, Horst en Weide",Zuid-Holland,177711,2019-11-20T11:13:34,knooppunt,POINT (4.292573135000055 52.09446082900007)
wandelknooppunten_vrij_wgs84.75,49,"Duin, Horst en Weide",Zuid-Holland,177709,2019-11-20T11:13:34,knooppunt,POINT (4.4639904670000305 52.12660763500003)
